index,ion_index,energy,s,p,d
132,Ba,-45.5579,0.0,0.0,0.0
133,Ba,-45.5382,0.0,0.0,0.0
134,Ba,-45.5184,0.0,0.0,0.0
135,Ba,-45.4987,0.0,0.0,0.0
136,Ba,-45.4789,0.0,0.0,0.0
137,Ba,-45.4592,0.0,0.0,0.0
138,Ba,-45.4395,0.0,0.0,0.0
139,Ba,-45.4197,0.0,0.0,0.0
140,Ba,-45.4000,0.0,0.0,0.0
141,Ba,-45.3802,0.0,0.0,0.0
142,Ba,-45.3605,0.0,0.0,0.0
143,Ba,-45.3407,0.0,0.0,0.0
144,Ba,-45.3210,0.0,0.0,0.0
145,Ba,-45.3012,0.0,0.0,0.0
146,Ba,-45.2815,0.0,0.0,0.0
147,Ba,-45.2618,0.0,0.0,0.0
148,Ba,-45.2420,0.0,0.0,0.0
149,Ba,-45.2223,0.0,0.0,0.0
150,Ba,-45.2025,0.0,0.0,0.0
151,Ba,-45.1828,0.0,0.0,0.0
152,Ba,-45.1630,0.0,0.0,0.0
153,Ba,-45.1433,0.0,0.0,0.0
154,Ba,-45.1235,0.0,0.0,0.0
155,Ba,-45.1038,0.0,0.0,0.0
156,Ba,-45.0841,0.0,0.0,0.0
157,Ba,-45.0643,0.0,0.0,0.0
158,Ba,-45.0446,0.0,0.0,0.0
159,Ba,-45.0248,0.0,0.0,0.0
160,Ba,-45.0051,0.0,0.0,0.0
161,Ba,-44.9853,0.0,0.0,0.0
162,Ba,-44.9656,0.0,0.0,0.0
163,Ba,-44.9459,0.0,0.0,0.0
164,Ba,-44.9261,0.0,0.0,0.0
165,Ba,-44.9064,0.0,0.0,0.0
166,Ba,-44.8866,0.0,0.0,0.0
167,Ba,-44.8669,0.0,0.0,0.0
168,Ba,-44.8471,0.0,0.0,0.0
169,Ba,-44.8274,0.0,0.0,0.0
170,Ba,-44.8076,0.0,0.0,0.0
171,Ba,-44.7879,0.0,0.0,0.0
172,Ba,-44.7682,0.0,0.0,0.0
173,Ba,-44.7484,0.0,0.0,0.0
174,Ba,-44.7287,0.0,0.0,0.0
175,Ba,-44.7089,0.0,0.0,0.0
176,Ba,-44.6892,0.0,0.0,0.0
177,Ba,-44.6694,0.0,0.0,0.0
178,Ba,-44.6497,0.0,0.0,0.0
179,Ba,-44.6300,0.0,0.0,0.0
180,Ba,-44.6102,0.0,0.0,0.0
181,Ba,-44.5905,0.0,0.0,0.0
182,Ba,-44.5707,0.0,0.0,0.0
183,Ba,-44.5510,0.0,0.0,0.0
184,Ba,-44.5312,0.0,0.0,0.0
185,Ba,-44.5115,0.0,0.0,0.0
186,Ba,-44.4917,0.0,0.0,0.0
187,Ba,-44.4720,0.0,0.0,0.0
188,Ba,-44.4523,0.0,0.0,0.0
189,Ba,-44.4325,0.0,0.0,0.0
190,Ba,-44.4128,0.0,0.0,0.0
191,Ba,-44.3930,0.0,0.0,0.0
192,Ba,-44.3733,0.0,0.0,0.0
193,Ba,-44.3535,0.0,0.0,0.0
194,Ba,-44.3338,0.0,0.0,0.0
195,Ba,-44.3140,0.0,0.0,0.0
196,Ba,-44.2943,0.0,0.0,0.0
197,Ba,-44.2746,0.0,0.0,0.0
198,Ba,-44.2548,0.0,0.0,0.0
199,Ba,-44.2351,0.0,0.0,0.0
200,Ba,-44.2153,0.0,0.0,0.0
201,Ba,-44.1956,0.0,0.0,0.0
202,Ba,-44.1758,0.0,0.0,0.0
203,Ba,-44.1561,0.0,0.0,0.0
204,Ba,-44.1364,0.0,0.0,0.0
205,Ba,-44.1166,0.0,0.0,0.0
206,Ba,-44.0969,0.0,0.0,0.0
207,Ba,-44.0771,0.0,0.0,0.0
208,Ba,-44.0574,0.0,0.0,0.0
209,Ba,-44.0376,0.0,0.0,0.0
210,Ba,-44.0179,0.0,0.0,0.0
211,Ba,-43.9981,0.0,0.0,0.0
212,Ba,-43.9784,0.0,0.0,0.0
213,Ba,-43.9587,0.0,0.0,0.0
214,Ba,-43.9389,0.0,0.0,0.0
215,Ba,-43.9192,0.0,0.0,0.0
216,Ba,-43.8994,0.0,0.0,0.0
217,Ba,-43.8797,0.0,0.0,0.0
218,Ba,-43.8599,0.0,0.0,0.0
219,Ba,-43.8402,0.0,0.0,0.0
220,Ba,-43.8205,0.0,0.0,0.0
221,Ba,-43.8007,0.0,0.0,0.0
222,Ba,-43.7810,0.0,0.0,0.0
223,Ba,-43.7612,0.0,0.0,0.0
224,Ba,-43.7415,0.0,0.0,0.0
225,Ba,-43.7217,0.0,0.0,0.0
226,Ba,-43.7020,0.0,0.0,0.0
227,Ba,-43.6822,0.0,0.0,0.0
228,Ba,-43.6625,0.0,0.0,0.0
229,Ba,-43.6428,0.0,0.0,0.0
230,Ba,-43.6230,0.0,0.0,0.0
231,Ba,-43.6033,0.0,0.0,0.0
232,Ba,-43.5835,0.0,0.0,0.0
233,Ba,-43.5638,0.0,0.0,0.0
234,Ba,-43.5440,0.0,0.0,0.0
235,Ba,-43.5243,0.0,0.0,0.0
236,Ba,-43.5045,0.0,0.0,0.0
237,Ba,-43.4848,0.0,0.0,0.0
238,Ba,-43.4651,0.0,0.0,0.0
239,Ba,-43.4453,0.0,0.0,0.0
240,Ba,-43.4256,0.0,0.0,0.0
241,Ba,-43.4058,0.0,0.0,0.0
242,Ba,-43.3861,0.0,0.0,0.0
243,Ba,-43.3663,0.0,0.0,0.0
244,Ba,-43.3466,0.0,0.0,0.0
245,Ba,-43.3269,0.0,0.0,0.0
246,Ba,-43.3071,0.0,0.0,0.0
247,Ba,-43.2874,0.0,0.0,0.0
248,Ba,-43.2676,0.0,0.0,0.0
249,Ba,-43.2479,0.0,0.0,0.0
250,Ba,-43.2281,0.0,0.0,0.0
251,Ba,-43.2084,0.0,0.0,0.0
252,Ba,-43.1886,0.0,0.0,0.0
253,Ba,-43.1689,0.0,0.0,0.0
254,Ba,-43.1492,0.0,0.0,0.0
255,Ba,-43.1294,0.0,0.0,0.0
256,Ba,-43.1097,0.0,0.0,0.0
257,Ba,-43.0899,0.0,0.0,0.0
258,Ba,-43.0702,0.0,0.0,0.0
259,Ba,-43.0504,0.0,0.0,0.0
260,Ba,-43.0307,0.0,0.0,0.0
261,Ba,-43.0109,0.0,0.0,0.0
262,Ba,-42.9912,0.0,0.0,0.0
263,Ba,-42.9715,0.0,0.0,0.0
264,Ba,-42.9517,0.0,0.0,0.0
265,Ba,-42.9320,0.0,0.0,0.0
266,Ba,-42.9122,0.0,0.0,0.0
267,Ba,-42.8925,0.0,0.0,0.0
268,Ba,-42.8727,0.0,0.0,0.0
269,Ba,-42.8530,0.0,0.0,0.0
270,Ba,-42.8333,0.0,0.0,0.0
271,Ba,-42.8135,0.0,0.0,0.0
272,Ba,-42.7938,0.0,0.0,0.0
273,Ba,-42.7740,0.0,0.0,0.0
274,Ba,-42.7543,0.0,0.0,0.0
275,Ba,-42.7345,0.0,0.0,0.0
276,Ba,-42.7148,0.0,0.0,0.0
277,Ba,-42.6950,0.0,0.0,0.0
278,Ba,-42.6753,0.0,0.0,0.0
279,Ba,-42.6556,0.0,0.0,0.0
280,Ba,-42.6358,0.0,0.0,0.0
281,Ba,-42.6161,0.0,0.0,0.0
282,Ba,-42.5963,0.0,0.0,0.0
283,Ba,-42.5766,0.0,0.0,0.0
284,Ba,-42.5568,0.0,0.0,0.0
285,Ba,-42.5371,0.0,0.0,0.0
286,Ba,-42.5174,0.0,0.0,0.0
287,Ba,-42.4976,0.0,0.0,0.0
288,Ba,-42.4779,0.0,0.0,0.0
289,Ba,-42.4581,0.0,0.0,0.0
290,Ba,-42.4384,0.0,0.0,0.0
291,Ba,-42.4186,0.0,0.0,0.0
292,Ba,-42.3989,0.0,0.0,0.0
293,Ba,-42.3791,0.0,0.0,0.0
294,Ba,-42.3594,0.0,0.0,0.0
295,Ba,-42.3397,0.0,0.0,0.0
296,Ba,-42.3199,0.0,0.0,0.0
297,Ba,-42.3002,0.0,0.0,0.0
298,Ba,-42.2804,0.0,0.0,0.0
299,Ba,-42.2607,0.0,0.0,0.0
300,Ba,-42.2409,0.0,0.0,0.0
301,Ba,-42.2212,0.0,0.0,0.0
302,Ba,-42.2014,0.0,0.0,0.0
303,Ba,-42.1817,0.0,0.0,0.0
304,Ba,-42.1620,0.0,0.0,0.0
305,Ba,-42.1422,0.0,0.0,0.0
306,Ba,-42.1225,0.0,0.0,0.0
307,Ba,-42.1027,0.0,0.0,0.0
308,Ba,-42.0830,0.0,0.0,0.0
309,Ba,-42.0632,0.0,0.0,0.0
310,Ba,-42.0435,0.0,0.0,0.0
311,Ba,-42.0238,0.0,0.0,0.0
312,Ba,-42.0040,0.0,0.0,0.0
313,Ba,-41.9843,0.0,0.0,0.0
314,Ba,-41.9645,0.0,0.0,0.0
315,Ba,-41.9448,0.0,0.0,0.0
316,Ba,-41.9250,0.0,0.0,0.0
317,Ba,-41.9053,0.0,0.0,0.0
318,Ba,-41.8855,0.0,0.0,0.0
319,Ba,-41.8658,0.0,0.0,0.0
320,Ba,-41.8461,0.0,0.0,0.0
321,Ba,-41.8263,0.0,0.0,0.0
322,Ba,-41.8066,0.0,0.0,0.0
323,Ba,-41.7868,0.0,0.0,0.0
324,Ba,-41.7671,0.0,0.0,0.0
325,Ba,-41.7473,0.0,0.0,0.0
326,Ba,-41.7276,0.0,0.0,0.0
327,Ba,-41.7079,0.0,0.0,0.0
328,Ba,-41.6881,0.0,0.0,0.0
329,Ba,-41.6684,0.0,0.0,0.0
330,Ba,-41.6486,0.0,0.0,0.0
331,Ba,-41.6289,0.0,0.0,0.0
332,Ba,-41.6091,0.0,0.0,0.0
333,Ba,-41.5894,0.0,0.0,0.0
334,Ba,-41.5696,0.0,0.0,0.0
335,Ba,-41.5499,0.0,0.0,0.0
336,Ba,-41.5302,0.0,0.0,0.0
337,Ba,-41.5104,0.0,0.0,0.0
338,Ba,-41.4907,0.0,0.0,0.0
339,Ba,-41.4709,0.0,0.0,0.0
340,Ba,-41.4512,0.0,0.0,0.0
341,Ba,-41.4314,0.0,0.0,0.0
342,Ba,-41.4117,0.0,0.0,0.0
343,Ba,-41.3919,0.0,0.0,0.0
344,Ba,-41.3722,0.0,0.0,0.0
345,Ba,-41.3525,0.0,0.0,0.0
346,Ba,-41.3327,0.0,0.0,0.0
347,Ba,-41.3130,0.0,0.0,0.0
348,Ba,-41.2932,0.0,0.0,0.0
349,Ba,-41.2735,0.0,0.0,0.0
350,Ba,-41.2537,0.0,0.0,0.0
