index,ion_index,energy,s,p,d
8147,Zr,-47.4138,0.0,0.0,0.0
5147,S,-47.4138,0.0,0.0,0.0
8146,Zr,-47.3941,0.0,0.0,0.0
5146,S,-47.3941,0.0,0.0,0.0
2146,Ba,-47.3941,0.0,0.0,0.0
8145,Zr,-47.3744,0.0,0.0,0.0
5145,S,-47.3744,0.0,0.0,0.0
2145,Ba,-47.3744,0.0,0.0,0.0
8144,Zr,-47.3546,0.0,0.0,0.0
5144,S,-47.3546,0.0,0.0,0.0
2144,Ba,-47.3546,0.0,0.0,0.0
5143,S,-47.3349,0.0,0.0,0.0
2143,Ba,-47.3349,0.0,0.0,0.0
8143,Zr,-47.3349,0.0,0.0,0.0
2142,Ba,-47.3151,0.0,0.0,0.0
8142,Zr,-47.3151,0.0,0.0,0.0
5142,S,-47.3151,0.0,0.0,0.0
2141,Ba,-47.2954,0.0,0.0,0.0
8141,Zr,-47.2954,0.0,0.0,0.0
5141,S,-47.2954,0.0,0.0,0.0
2140,Ba,-47.2756,0.0,0.0,0.0
5140,S,-47.2756,0.0,0.0,0.0
8140,Zr,-47.2756,0.0,0.0,0.0
5139,S,-47.2559,0.0,0.0,0.0
2139,Ba,-47.2559,0.0,0.0,0.0
8139,Zr,-47.2559,0.0,0.0,0.0
5138,S,-47.2361,0.0,0.0,0.0
2138,Ba,-47.2361,0.0,0.0,0.0
8138,Zr,-47.2361,0.0,0.0,0.0
2137,Ba,-47.2164,0.0,0.0,0.0
8137,Zr,-47.2164,0.0,0.0,0.0
5137,S,-47.2164,0.0,0.0,0.0
8136,Zr,-47.1967,0.0,0.0,0.0
5136,S,-47.1967,0.0,0.0,0.0
2136,Ba,-47.1967,0.0,0.0,0.0
8135,Zr,-47.1769,0.0,0.0,0.0
5135,S,-47.1769,0.0,0.0,0.0
2135,Ba,-47.1769,0.0,0.0,0.0
5134,S,-47.1572,0.0,0.0,0.0
2134,Ba,-47.1572,0.0,0.0,0.0
8134,Zr,-47.1572,0.0,0.0,0.0
2133,Ba,-47.1374,0.0,0.0,0.0
8133,Zr,-47.1374,0.0,0.0,0.0
5133,S,-47.1374,0.0,0.0,0.0
2132,Ba,-47.1177,0.0,0.0,0.0
5132,S,-47.1177,0.0,0.0,0.0
8132,Zr,-47.1177,0.0,0.0,0.0
2131,Ba,-47.0979,0.0,0.0,0.0
5131,S,-47.0979,0.0,0.0,0.0
8131,Zr,-47.0979,0.0,0.0,0.0
2130,Ba,-47.0782,0.0,0.0,0.0
8130,Zr,-47.0782,0.0,0.0,0.0
5130,S,-47.0782,0.0,0.0,0.0
2129,Ba,-47.0585,0.0,0.0,0.0
8129,Zr,-47.0585,0.0,0.0,0.0
5129,S,-47.0585,0.0,0.0,0.0
2128,Ba,-47.0387,0.0,0.0,0.0
8128,Zr,-47.0387,0.0,0.0,0.0
5128,S,-47.0387,0.0,0.0,0.0
8127,Zr,-47.019,0.0,0.0,0.0
2127,Ba,-47.019,0.0,0.0,0.0
5127,S,-47.019,0.0,0.0,0.0
5126,S,-46.9992,0.0,0.0,0.0
2126,Ba,-46.9992,0.0,0.0,0.0
8126,Zr,-46.9992,0.0,0.0,0.0
5125,S,-46.9795,0.0,0.0,0.0
2125,Ba,-46.9795,0.0,0.0,0.0
8125,Zr,-46.9795,0.0,0.0,0.0
8124,Zr,-46.9597,0.0,0.0,0.0
2124,Ba,-46.9597,0.0,0.0,0.0
5124,S,-46.9597,0.0,0.0,0.0
8123,Zr,-46.94,0.0,0.0,0.0
2123,Ba,-46.94,0.0,0.0,0.0
5123,S,-46.94,0.0,0.0,0.0
2122,Ba,-46.9202,0.0,0.0,0.0
8122,Zr,-46.9202,0.0,0.0,0.0
5122,S,-46.9202,0.0,0.0,0.0
8121,Zr,-46.9005,0.0,0.0,0.0
5121,S,-46.9005,0.0,0.0,0.0
2121,Ba,-46.9005,0.0,0.0,0.0
8120,Zr,-46.8808,0.0,0.0,0.0
5120,S,-46.8808,0.0,0.0,0.0
